,co_volume,cv_volume,sentiment,sentiment_ste
2018-07-05,1001,0,-16.181728324585468,1.1386121294012552
2018-07-06,1048,0,-18.740050569899672,1.2072231748132578
2018-07-07,2926,0,-19.977605976690125,0.7460345365846964
2018-07-08,715,0,-17.099548152594373,1.5809296966698572
2018-07-09,873,0,-15.423325878652339,1.3439705472111854
2018-07-10,1169,0,-14.006132616376371,1.060304378051963
2018-07-11,889,0,-14.294757419757422,1.3476879690600396
2018-07-12,1706,0,-10.39200706531345,0.9765382874609276
2018-07-13,833,0,-18.362238930659984,1.5144589799079298
2018-07-14,822,0,-19.59887888537523,1.5433957810336578
2018-07-15,877,0,-11.81531749730428,1.3721070042766137
2018-07-16,893,0,-22.21871868467082,1.4528437767454934
2018-07-17,914,0,-21.460710147195215,1.5075841783093114
2018-07-18,637,0,-21.501604578839416,1.6813135437968585
2018-07-19,315,0,-21.87301587301587,2.418719191014668
2018-07-20,1049,0,-23.47289510002078,1.262697239090519
2018-07-21,2698,0,-21.95912361941233,0.7907920716120431
2018-07-22,868,0,-14.083823605161552,1.4344165906241229
2018-07-23,831,0,-14.37974497090021,1.4659002013318747
2018-07-24,3228,0,-17.84003003997147,0.7040667482954972
2018-07-25,990,0,-19.55274355274356,1.3033774627695691
2018-07-26,827,0,-17.787969765533713,1.392685703899906
2018-07-27,31,0,-22.58064516129032,6.491810257257454
2018-07-28,824,0,-14.923226446686705,1.5055267654036066
2018-07-29,813,0,-15.179808493020433,1.5005035785545109
2018-07-30,812,0,-16.117791683026397,1.4408492853417225
2018-07-31,965,0,-13.840865636036979,1.2525527246028025
2018-08-01,956,0,-17.0948865056746,1.376204635414546
2018-08-02,51,0,-26.820728291316527,5.989831109545949
2018-08-03,987,0,-24.937923159807664,1.270635738468603
2018-08-04,1009,0,-25.5914625513238,1.317258701614597
2018-08-05,894,0,-22.477850573488155,1.327569497322202
2018-08-06,1074,0,-25.71892370591282,1.2635993776302157
2018-08-07,965,0,-17.42835397659049,1.2846305841120154
2018-08-09,929,0,-21.972752463054185,1.3564935005182184
2018-08-10,943,0,-25.58131054969759,1.457587468346082
2018-08-11,848,0,-21.26001226937056,1.4512720269884312
2018-08-12,567,0,-15.60482362160808,1.7910217954431353
2018-08-13,839,0,-16.113839694962653,1.5291533001592312
2018-08-14,888,0,-16.060205931073014,1.4295230622351491
2018-08-15,897,0,-16.727853152434164,1.4243808902441215
2018-08-16,936,0,-24.778248396105944,1.4683181561487855
2018-08-17,3734,0,-20.452638690467648,0.6852852868560775
2018-08-18,866,0,-20.80774035635147,1.5165745718453405
2018-08-19,791,0,-14.582254644938345,1.5145572534527512
2018-08-20,754,0,-16.079211581766582,1.5250988888463581
2018-08-21,765,0,-17.4293214430829,1.521147291613115
2018-08-22,771,0,-19.151090298950223,1.601199551020881
2018-08-24,873,0,-17.556412182700846,1.394109825778055
2018-08-25,692,0,-15.890121042153385,1.633161974449554
